Time (Sec), Pressure (hPa), Tgw_mean (degC), Tgw_std (degC), Tww_mean (degC), Tww_std (degC), TDew (degC), TFrost (degC), CPC_Inters (#/cm3), CPC_TotBot (#/cm3), CPC_TotTop (#/cm3)
 -60,  983.231,   6.40,   0.18,   6.12,   0.09,   3.82,    NaN,   NaN, 5128.831630,   NaN
 -59,  983.263,   6.39,   0.18,   6.14,   0.09,   3.82,    NaN,   NaN, 5015.712689,   NaN
 -58,  983.428,   6.39,   0.17,   6.14,   0.09,   3.83,    NaN,   NaN, 5143.829549,   NaN
 -57,  983.329,   6.39,   0.18,   6.16,   0.10,   3.83,    NaN,   NaN, 5011.144702,   NaN
 -56,  983.362,   6.38,   0.17,   6.18,   0.11,   3.83,    NaN,   NaN, 5125.514343,   NaN
 -55,  983.362,   6.37,   0.17,   6.18,   0.11,   3.83,    NaN,   NaN, 5120.316524,   NaN
 -54,  983.395,   6.37,   0.17,   6.19,   0.12,   3.83,    NaN,   NaN, 5172.074918,   NaN
 -53,  983.231,   6.36,   0.16,   6.20,   0.13,   3.83,    NaN,   NaN, 5217.127702,   NaN
 -52,  983.263,   6.36,   0.16,   6.21,   0.14,   3.83,    NaN,   NaN, 5178.208934,   NaN
 -51,  983.132,   6.35,   0.17,   6.22,   0.15,   3.83,    NaN,   NaN, 5177.644353,   NaN
 -50,  983.132,   6.35,   0.16,   6.22,   0.15,   3.83,    NaN,   NaN, 5081.957330,   NaN
 -49,  983.001,   6.35,   0.16,   6.22,   0.15,   3.83,    NaN,   NaN, 5226.132114,   NaN
 -48,  983.099,   6.33,   0.16,   6.23,   0.16,   3.83,    NaN,   NaN, 5103.202767,   NaN
 -47,  983.165,   6.34,   0.16,   6.24,   0.16,   3.83,    NaN,   NaN, 5151.835849,   NaN
 -46,  983.263,   6.32,   0.16,   6.23,   0.17,   3.83,    NaN,   NaN, 5135.739865,   NaN
 -45,  983.198,   6.33,   0.17,   6.24,   0.17,   3.82,    NaN,   NaN, 5185.009597,   NaN
 -44,  983.231,   6.34,   0.16,   6.24,   0.18,   3.82,    NaN,   NaN, 5102.747024,   NaN
 -43,  983.165,   6.33,   0.16,   6.25,   0.19,   3.82,    NaN,   NaN, 5077.703260,   NaN
 -42,  983.263,   6.34,   0.16,   6.26,   0.19,   3.82,    NaN,   NaN, 5171.822859,   NaN
 -41,  983.231,   6.32,   0.16,   6.25,   0.19,   3.82,    NaN,   NaN, 5158.948755,   NaN
 -40,  983.231,   6.33,   0.16,   6.26,   0.20,   3.81,    NaN,   NaN, 5303.067293,   NaN
 -39,  983.132,   6.33,   0.15,   6.26,   0.20,   3.81,    NaN,   NaN, 5054.825896,   NaN
 -38,  983.231,   6.33,   0.15,   6.27,   0.20,   3.81,    NaN,   NaN, 5099.932380,   NaN
 -37,  983.198,   6.32,   0.14,   6.27,   0.20,   3.81,    NaN,   NaN, 5099.973014,   NaN
 -36,  983.165,   6.31,   0.14,   6.27,   0.20,   3.81,    NaN,   NaN, 5220.064993,   NaN
 -35,  983.263,   6.32,   0.14,   6.27,   0.20,   3.81,    NaN,   NaN, 5220.459080,   NaN
 -34,  983.362,   6.33,   0.15,   6.27,   0.20,   3.81,    NaN,   NaN, 5057.149546,   NaN
 -33,  983.034,   6.33,   0.14,   6.28,   0.19,   3.81,    NaN,   NaN, 5071.401380,   NaN
 -32,  983.132,   6.33,   0.14,   6.28,   0.19,   3.81,    NaN,   NaN, 5138.042574,   NaN
 -31,  983.231,   6.32,   0.14,   6.28,   0.19,   3.81,    NaN,   NaN, 5045.338064,   NaN
 -30,  983.231,   6.32,   0.13,   6.27,   0.18,   3.81,    NaN,   NaN, 5111.945604,   NaN
 -29,  982.902,   6.31,   0.13,   6.25,   0.17,   3.81,    NaN,   NaN, 5197.947836,   NaN
 -28,  983.198,   6.31,   0.14,   6.24,   0.16,   3.81,    NaN,   NaN, 5068.114341,   NaN
 -27,  983.066,   6.31,   0.13,   6.24,   0.14,   3.81,    NaN,   NaN, 4997.228809,   NaN
 -26,  983.198,   6.32,   0.13,   6.24,   0.12,   3.81,    NaN,   NaN, 5092.574872,   NaN
 -25,  983.066,   6.31,   0.13,   6.22,   0.10,   3.81,    NaN,   NaN, 5049.930629,   NaN
 -24,  983.132,   6.30,   0.13,   6.19,   0.08,   3.81,    NaN,   NaN, 5100.114594,   NaN
 -23,  983.231,   6.31,   0.12,   6.16,   0.06,   3.81,    NaN,   NaN, 5140.577293,   NaN
 -22,  983.099,   6.31,   0.12,   6.16,   0.05,   3.81,    NaN,   NaN, 5126.214085,   NaN
 -21,  983.132,   6.30,   0.12,   6.15,   0.05,   3.81,    NaN,   NaN, 5166.899813,   NaN
 -20,  982.968,   6.31,   0.11,   6.14,   0.05,   3.81,    NaN,   NaN, 5181.989040,   NaN
 -19,  982.968,   6.30,   0.12,   6.12,   0.06,   3.81,    NaN,   NaN, 5176.669737,   NaN
 -18,  983.099,   6.29,   0.12,   6.12,   0.06,   3.81,    NaN,   NaN, 5177.517770,   NaN
 -17,  983.034,   6.29,   0.12,   6.10,   0.07,   3.81,    NaN,   NaN, 5111.072623,   NaN
 -16,  983.132,   6.29,   0.11,   6.10,   0.07,   3.81,    NaN,   NaN, 5041.994841,   NaN
 -15,  982.968,   6.27,   0.10,   6.08,   0.07,   3.81,    NaN,   NaN, 5072.163479,   NaN
