Time (Sec), Pressure (hPa), Tgw_mean (degC), Tgw_std (degC), Tww_mean (degC), Tww_std (degC), TDew (degC), TFrost (degC), CPC_Inters (#/cm3), CPC_TotBot (#/cm3), CPC_TotTop (#/cm3)
 -60,  979.751,   6.48,   0.97,   6.00,   0.55,   2.56,    NaN,   NaN, 2818.811132,   NaN
 -59,  979.685,   6.45,   0.98,   6.01,   0.55,   2.55,    NaN,   NaN, 2735.956516,   NaN
 -58,  979.850,   6.45,   0.98,   6.01,   0.55,   2.54,    NaN,   NaN, 2740.470426,   NaN
 -57,  979.653,   6.41,   0.98,   6.00,   0.55,   2.53,    NaN,   NaN, 2781.962482,   NaN
 -56,  979.488,   6.38,   0.96,   6.00,   0.55,   2.52,    NaN,   NaN, 2855.556105,   NaN
 -55,  979.587,   6.36,   0.97,   6.00,   0.54,   2.51,    NaN,   NaN, 2880.976483,   NaN
 -54,  979.554,   6.34,   0.98,   6.00,   0.55,   2.50,    NaN,   NaN, 2837.255237,   NaN
 -53,  979.718,   6.33,   0.98,   6.00,   0.54,   2.49,    NaN,   NaN, 2819.953681,   NaN
 -52,  979.488,   6.31,   0.97,   6.00,   0.54,   2.49,    NaN,   NaN, 2819.354436,   NaN
 -51,  979.653,   6.30,   0.96,   6.00,   0.54,   2.48,    NaN,   NaN, 2824.009469,   NaN
 -50,  979.554,   6.30,   0.97,   6.00,   0.54,   2.48,    NaN,   NaN, 2841.141133,   NaN
 -49,  979.685,   6.30,   0.97,   6.00,   0.53,   2.48,    NaN,   NaN, 2762.193419,   NaN
 -48,  979.751,   6.29,   0.97,   6.00,   0.53,   2.47,    NaN,   NaN, 2762.425037,   NaN
 -47,  979.784,   6.29,   0.97,   6.00,   0.53,   2.47,    NaN,   NaN, 2818.814632,   NaN
 -46,  979.882,   6.29,   0.98,   6.00,   0.53,   2.47,    NaN,   NaN, 2844.973312,   NaN
 -45,  979.784,   6.29,   0.99,   6.00,   0.53,   2.47,    NaN,   NaN, 2829.231060,   NaN
 -44,  979.850,   6.29,   0.98,   6.00,   0.53,   2.47,    NaN,   NaN, 2838.574778,   NaN
 -43,  979.915,   6.30,   0.99,   6.00,   0.53,   2.47,    NaN,   NaN, 2729.450002,   NaN
 -42,  979.784,   6.30,   0.98,   6.00,   0.53,   2.47,    NaN,   NaN, 2783.213022,   NaN
 -41,  979.981,   6.30,   0.98,   6.00,   0.53,   2.47,    NaN,   NaN, 2797.398393,   NaN
 -40,  980.014,   6.30,   0.99,   5.99,   0.53,   2.47,    NaN,   NaN, 2834.716126,   NaN
 -39,  980.047,   6.30,   0.99,   5.99,   0.53,   2.47,    NaN,   NaN, 2766.868064,   NaN
 -38,  979.817,   6.31,   0.99,   5.99,   0.53,   2.47,    NaN,   NaN, 2698.225253,   NaN
 -37,  979.784,   6.31,   1.00,   5.99,   0.54,   2.47,    NaN,   NaN, 2784.401219,   NaN
 -36,  979.817,   6.31,   1.00,   5.98,   0.54,   2.47,    NaN,   NaN, 2843.460171,   NaN
 -35,  980.079,   6.31,   1.00,   5.97,   0.54,   2.47,    NaN,   NaN, 2799.849019,   NaN
 -34,  980.047,   6.32,   1.00,   5.97,   0.54,   2.47,    NaN,   NaN, 2799.684272,   NaN
 -33,  979.948,   6.33,   1.00,   5.97,   0.54,   2.47,    NaN,   NaN, 2771.672145,   NaN
 -32,  979.850,   6.32,   1.00,   5.96,   0.54,   2.47,    NaN,   NaN, 2771.440322,   NaN
 -31,  979.915,   6.32,   0.99,   5.96,   0.54,   2.46,    NaN,   NaN, 2768.839810,   NaN
 -30,  980.178,   6.33,   0.99,   5.96,   0.54,   2.46,    NaN,   NaN, 2839.818016,   NaN
 -29,  980.079,   6.33,   0.99,   5.97,   0.54,   2.46,    NaN,   NaN, 2681.496636,   NaN
 -28,  979.850,   6.32,   0.98,   5.96,   0.54,   2.46,    NaN,   NaN, 2803.820363,   NaN
 -27,  979.718,   6.33,   0.98,   5.96,   0.54,   2.46,    NaN,   NaN, 2819.217016,   NaN
 -26,  980.079,   6.34,   0.98,   5.96,   0.53,   2.46,    NaN,   NaN, 2833.752067,   NaN
 -25,  979.915,   6.34,   0.98,   5.95,   0.53,   2.46,    NaN,   NaN, 2823.068088,   NaN
 -24,  979.981,   6.34,   0.99,   5.95,   0.53,   2.46,    NaN,   NaN, 2772.175944,   NaN
 -23,  979.981,   6.34,   0.99,   5.95,   0.53,   2.46,    NaN,   NaN, 2819.063970,   NaN
 -22,  980.014,   6.34,   0.99,   5.95,   0.53,   2.46,    NaN,   NaN, 2750.818137,   NaN
 -21,  979.882,   6.35,   0.99,   5.95,   0.53,   2.46,    NaN,   NaN, 2872.017891,   NaN
 -20,  979.718,   6.35,   0.99,   5.95,   0.53,   2.46,    NaN,   NaN, 2734.712512,   NaN
 -19,  979.850,   6.35,   1.00,   5.93,   0.53,   2.46,    NaN,   NaN, 2807.899744,   NaN
 -18,  979.784,   6.35,   0.98,   5.93,   0.53,   2.46,    NaN,   NaN, 2782.201533,   NaN
 -17,  979.850,   6.36,   0.99,   5.93,   0.53,   2.46,    NaN,   NaN, 2835.131621,   NaN
 -16,  979.850,   6.36,   1.00,   5.91,   0.53,   2.46,    NaN,   NaN, 2801.820311,   NaN
 -15,  979.915,   6.37,   1.00,   5.91,   0.53,   2.46,    NaN,   NaN, 2801.958806,   NaN
 -14,  979.718,   6.37,   0.99,   5.90,   0.53,   2.46,    NaN,   NaN, 2792.316508,   NaN
 -13,  979.718,   6.37,   1.00,   5.89,   0.53,   2.46,    NaN,   NaN, 2778.445176,   NaN
 -12,  979.685,   6.37,   0.98,   5.89,   0.53,   2.45,    NaN,   NaN, 2881.729916,   NaN
 -11,  979.981,   6.37,   0.98,   5.87,   0.54,   2.45,    NaN,   NaN, 2792.964190,   NaN
 -10,  979.587,   6.37,   0.98,   5.87,   0.54,   2.45,    NaN,   NaN, 2781.202988,   NaN
  -9,  979.784,   6.37,   0.98,   5.86,   0.54,   2.45,    NaN,   NaN, 2836.504646,   NaN
  -8,  979.718,   6.37,   0.98,   5.85,   0.54,   2.45,    NaN,   NaN, 2727.812616,   NaN
  -7,  979.521,   6.39,   0.99,   5.84,   0.54,   2.45,    NaN,   NaN, 2745.526039,   NaN
  -6,  979.850,   6.39,   0.99,   5.84,   0.54,   2.45,    NaN,   NaN, 2868.248560,   NaN
  -5,  979.653,   6.39,   0.99,   5.84,   0.54,   2.45,    NaN,   NaN, 2819.237363,   NaN
  -4,  979.521,   6.38,   0.99,   5.83,   0.54,   2.45,    NaN,   NaN, 2747.496968,   NaN
  -3,  979.456,   6.39,   0.99,   5.83,   0.54,   2.45,    NaN,   NaN, 2811.940705,   NaN
  -2,  978.766,   6.39,   0.99,   5.81,   0.54,   2.45,    NaN,   NaN, 2809.965883,   NaN
  -1,  978.438,   6.38,   0.99,   5.81,   0.54,   2.45,    NaN,   NaN, 2712.471872,   NaN
   0,  978.208,   6.39,   0.99,   5.80,   0.54,   2.45,    NaN,   NaN, 2816.062882,   NaN
   1,  977.519,   6.37,   0.99,   5.79,   0.54,   2.45,    NaN,   NaN, 2814.277662,   NaN
   2,  977.256,   6.35,   0.98,   5.79,   0.54,   2.45,    NaN,   NaN, 2796.589909,   NaN
   3,  976.994,   6.33,   0.98,   5.78,   0.54,   2.45,    NaN,   NaN, 2846.631098,   NaN
   4,  976.567,   6.32,   0.97,   5.77,   0.54,   2.44,    NaN,   NaN, 2775.891990,   NaN
   5,  976.698,   6.30,   0.97,   5.76,   0.54,   2.44,    NaN,   NaN, 2790.402966,   NaN
   6,  976.665,   6.29,   0.97,   5.75,   0.54,   2.44,    NaN,   NaN, 2842.998371,   NaN
   7,  976.468,   6.27,   0.97,   5.74,   0.54,   2.44,    NaN,   NaN, 2720.724828,   NaN
   8,  976.403,   6.27,   0.98,   5.73,   0.54,   2.43,    NaN,   NaN, 2777.061719,   NaN
   9,  976.534,   6.25,   0.96,   5.72,   0.55,   2.43,    NaN,   NaN, 2800.735789,   NaN
  10,  976.304,   6.24,   0.96,   5.71,   0.54,   2.43,    NaN,   NaN, 2822.544885,   NaN
  11,  976.206,   6.24,   0.97,   5.70,   0.55,   2.42,    NaN,   NaN, 2771.000983,   NaN
  12,  976.206,   6.24,   0.97,   5.70,   0.55,   2.42,    NaN,   NaN, 2842.855303,   NaN
  13,  975.976,   6.23,   0.96,   5.68,   0.55,   2.42,    NaN,   NaN, 2828.774742,   NaN
  14,  975.845,   6.23,   0.97,   5.67,   0.55,   2.42,    NaN,   NaN, 2803.253224,   NaN
  15,  975.713,   6.22,   0.97,   5.65,   0.55,   2.41,    NaN,   NaN, 2802.952296,   NaN
