Time (Sec), Pressure (hPa), Tgw_mean (degC), Tgw_std (degC), Tww_mean (degC), Tww_std (degC), TDew (degC), TFrost (degC), CPC_Inters (#/cm3), CPC_TotBot (#/cm3), CPC_TotTop (#/cm3)
 -60,  978.602,   5.73,   0.89,   5.04,   0.50,   1.87,    NaN, 4386.476816, 4780.704698,   NaN
 -59,  978.668,   5.71,   0.89,   5.04,   0.50,   1.86,    NaN, 4380.454988, 4587.446712,   NaN
 -58,  978.537,   5.69,   0.90,   5.04,   0.50,   1.85,    NaN, 4406.259493, 4684.124853,   NaN
 -57,  979.062,   5.67,   0.89,   5.04,   0.50,   1.84,    NaN, 4428.309769, 4682.540006,   NaN
 -56,  978.668,   5.67,   0.89,   5.04,   0.50,   1.83,    NaN, 4358.723464, 4703.291521,   NaN
 -55,  978.865,   5.66,   0.90,   5.04,   0.50,   1.83,    NaN, 4386.096009, 4769.480348,   NaN
 -54,  978.569,   5.65,   0.90,   5.04,   0.50,   1.82,    NaN, 4414.018042, 4768.162671,   NaN
 -53,  978.701,   5.64,   0.90,   5.04,   0.50,   1.82,    NaN, 4378.444000, 4765.596678,   NaN
 -52,  978.668,   5.62,   0.91,   5.04,   0.50,   1.82,    NaN, 4391.475030, 4762.369157,   NaN
 -51,  978.635,   5.62,   0.91,   5.04,   0.49,   1.82,    NaN, 4397.064074, 4823.993574,   NaN
 -50,  978.799,   5.61,   0.91,   5.04,   0.50,   1.82,    NaN, 4397.917207, 4952.164690,   NaN
 -49,  978.865,   5.61,   0.91,   5.04,   0.50,   1.82,    NaN, 4417.231768, 4858.848272,   NaN
 -48,  978.569,   5.60,   0.92,   5.03,   0.50,   1.82,    NaN, 4407.694267, 4763.885175,   NaN
 -47,  978.832,   5.59,   0.93,   5.03,   0.50,   1.82,    NaN, 4400.555286, 4796.597337,   NaN
 -46,  978.799,   5.59,   0.92,   5.03,   0.51,   1.82,    NaN, 4404.374329, 4684.444154,   NaN
 -45,  978.701,   5.59,   0.93,   5.03,   0.51,   1.82,    NaN, 4394.256334, 4672.638843,   NaN
 -44,  978.832,   5.58,   0.93,   5.03,   0.51,   1.83,    NaN, 4353.622554, 4845.998952,   NaN
 -43,  978.799,   5.57,   0.93,   5.03,   0.51,   1.83,    NaN, 4340.361857, 4767.206745,   NaN
 -42,  978.734,   5.57,   0.93,   5.03,   0.51,   1.83,    NaN, 4368.079622, 4836.371893,   NaN
 -41,  978.668,   5.56,   0.93,   5.03,   0.51,   1.83,    NaN, 4391.947502, 4778.907257,   NaN
 -40,  978.701,   5.56,   0.94,   5.03,   0.51,   1.83,    NaN, 4411.496855, 4721.730944,   NaN
 -39,  978.832,   5.56,   0.94,   5.03,   0.51,   1.84,    NaN, 4401.115190, 4791.019899,   NaN
 -38,  978.701,   5.56,   0.94,   5.03,   0.51,   1.84,    NaN, 4418.193558, 4859.159510,   NaN
 -37,  978.668,   5.56,   0.94,   5.03,   0.51,   1.84,    NaN, 4414.278657, 4756.553414,   NaN
 -36,  978.701,   5.56,   0.95,   5.04,   0.51,   1.84,    NaN, 4404.055580, 4733.452250,   NaN
 -35,  978.701,   5.55,   0.94,   5.04,   0.51,   1.84,    NaN, 4404.164877, 4710.339429,   NaN
 -34,  978.766,   5.55,   0.94,   5.04,   0.51,   1.84,    NaN, 4393.684013, 4790.314733,   NaN
 -33,  978.635,   5.54,   0.94,   5.04,   0.51,   1.84,    NaN, 4354.200971, 4773.255314,   NaN
 -32,  978.635,   5.54,   0.93,   5.04,   0.51,   1.84,    NaN, 4330.981148, 4756.791928,   NaN
 -31,  978.930,   5.54,   0.93,   5.04,   0.51,   1.84,    NaN, 4362.809601, 4838.283133,   NaN
 -30,  978.668,   5.53,   0.93,   5.04,   0.50,   1.84,    NaN, 4379.844683, 4828.761490,   NaN
 -29,  978.930,   5.54,   0.93,   5.05,   0.51,   1.84,    NaN, 4384.909936, 4578.773584,   NaN
 -28,  978.668,   5.53,   0.92,   5.04,   0.50,   1.83,    NaN, 4381.814685, 4719.104786,   NaN
 -27,  978.799,   5.53,   0.92,   5.04,   0.50,   1.83,    NaN, 4397.713444, 4744.675650,   NaN
 -26,  978.766,   5.52,   0.92,   5.05,   0.50,   1.83,    NaN, 4341.660639, 4702.667159,   NaN
 -25,  978.832,   5.52,   0.93,   5.05,   0.50,   1.83,    NaN, 4370.121477, 4661.016446,   NaN
 -24,  978.602,   5.52,   0.93,   5.06,   0.50,   1.83,    NaN, 4349.674847, 4736.022491,   NaN
 -23,  978.635,   5.52,   0.94,   5.07,   0.50,   1.83,    NaN, 4356.104049, 4805.221612,   NaN
 -22,  978.734,   5.52,   0.94,   5.08,   0.50,   1.83,    NaN, 4392.437442, 4733.839676,   NaN
 -21,  978.668,   5.52,   0.94,   5.08,   0.50,   1.83,    NaN, 4378.181990, 4661.722362,   NaN
